epoch,batch,mu_mean,mu_std,logvar_mean,logvar_std,actual_var
1,0,-0.015383311547338963,0.2454090714454651,-0.018366049975156784,0.2821422815322876,1.020111322402954
1,100,-1.4025566577911377,3.9932565689086914,3.913215160369873,3.8576066493988037,6228.33642578125
1,200,-1.4227412939071655,4.681476593017578,3.621307373046875,3.702343463897705,7292.98583984375
1,300,-1.0768858194351196,5.407381534576416,3.187288761138916,3.398341655731201,2320.731201171875
1,400,-1.227874517440796,6.7751922607421875,2.994514226913452,3.3036718368530273,1144.7489013671875
1,500,-1.7869247198104858,12.000443458557129,2.0471787452697754,2.7565436363220215,401.69268798828125
1,600,-1.3985226154327393,10.76310920715332,1.0230798721313477,1.787007212638855,28.174991607666016
2,0,-26.46017074584961,184.88998413085938,18.809879302978516,39.38544845581055,inf
2,100,nan,nan,nan,nan,nan
2,200,nan,nan,nan,nan,nan
2,300,nan,nan,nan,nan,nan
2,400,nan,nan,nan,nan,nan
2,500,nan,nan,nan,nan,nan
2,600,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan
3,100,nan,nan,nan,nan,nan
