epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.424998,0.865966,0.368647,0.866043,0.00100000,0,2025-08-09 17:37:26
2,0.262565,0.908278,0.236773,0.904801,0.00100000,0,2025-08-09 17:37:43
3,0.175670,0.935288,0.224843,0.921068,0.00100000,0,2025-08-09 17:38:01
4,0.109194,0.959163,0.260737,0.916557,0.00100000,0,2025-08-09 17:38:19
5,0.063801,0.977968,0.341852,0.916557,0.00100000,1,2025-08-09 17:38:36
6,0.036870,0.987187,0.484552,0.915470,0.00100000,2,2025-08-09 17:38:54
7,0.034968,0.988569,0.523161,0.916129,0.00100000,3,2025-08-09 17:39:11
8,0.021820,0.992718,0.500758,0.914416,0.00100000,4,2025-08-09 17:39:29
9,0.021395,0.993732,0.648257,0.920179,0.00050000,5,2025-08-09 17:39:46
10,0.010229,0.998249,0.594940,0.924690,0.00050000,6,2025-08-09 17:40:03
11,0.005396,0.999078,0.570316,0.928543,0.00050000,7,2025-08-09 17:40:21
12,0.001793,0.999539,0.734302,0.925547,0.00050000,8,2025-08-09 17:40:38
13,0.004943,0.998894,0.765777,0.924888,0.00050000,9,2025-08-09 17:40:56
14,0.002164,0.999539,0.726918,0.927457,0.00050000,10,2025-08-09 17:41:13
15,0.003431,0.999539,0.685316,0.927687,0.00025000,11,2025-08-09 17:41:31
16,0.000449,0.999816,0.703877,0.929399,0.00025000,12,2025-08-09 17:41:48
17,0.000179,1.000000,0.716517,0.923834,0.00025000,13,2025-08-09 17:42:05
18,0.000068,1.000000,0.734607,0.928543,0.00025000,14,2025-08-09 17:42:23
