epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.443365,0.855959,0.306237,0.883224,0.00100000,0,2025-08-09 11:17:26
2,0.277230,0.906132,0.290018,0.902961,0.00100000,0,2025-08-09 11:17:56
3,0.197066,0.929688,0.302886,0.890899,0.00100000,0,2025-08-09 11:18:11
4,0.140839,0.949303,0.334694,0.913925,0.00100000,1,2025-08-09 11:18:41
5,0.089926,0.969782,0.409529,0.909539,0.00100000,2,2025-08-09 11:19:05
6,0.051411,0.984257,0.530259,0.898575,0.00100000,3,2025-08-09 11:19:36
7,0.036097,0.988873,0.535308,0.917763,0.00100000,4,2025-08-09 11:20:01
8,0.023914,0.992424,0.652360,0.918860,0.00050000,5,2025-08-09 11:20:57
9,0.017206,0.995620,0.698722,0.922149,0.00050000,6,2025-08-09 11:21:27
10,0.011669,0.997041,0.675431,0.915570,0.00050000,7,2025-08-09 11:22:49
11,0.005785,0.998816,0.745978,0.917215,0.00050000,8,2025-08-09 11:23:42
12,0.004407,0.999527,0.838264,0.925439,0.00050000,9,2025-08-09 11:24:37
13,0.004068,0.999290,0.787483,0.924890,0.00050000,10,2025-08-09 11:24:59
14,0.006075,0.998935,0.852418,0.924890,0.00025000,11,2025-08-09 11:25:23
15,0.001369,0.999763,0.729385,0.924342,0.00025000,12,2025-08-09 11:25:44
16,0.002412,0.999763,0.764800,0.924342,0.00025000,13,2025-08-09 11:26:06
17,0.001556,0.999763,0.753334,0.926535,0.00025000,14,2025-08-09 11:26:22
