Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,14960380.948499365,0.32872399246395806,24719532.481675394,0.3596690188172043
2,11943560.322786024,0.3289185370249017,6982811.287958115,0.3596690188172043
3,7042100.207399349,0.3285294479030144,4826055.183246073,0.3596690188172043
4,2968169.1632131096,0.32872399246395806,1622337.2984293194,0.3596690188172043
5,1611017.2530474134,0.328237631061599,1598779.9162303666,0.3596690188172043
6,1588036.7816863586,0.3286267201834862,1576572.2303664922,0.3596690188172043
7,1566398.0250776722,0.3285294479030144,1555509.0261780105,0.3596690188172043
8,1545939.3781767087,0.32867535632372213,1535821.2565445027,0.3596690188172043
9,1527599.4747329091,0.3290644454456095,1517099.1204188482,0.3596690188172043
10,1509508.5817272,0.32867535632372213,1499898.2198952879,0.3596690188172043
11,1492034.7000568963,0.32872399246395806,1483394.2827225132,0.3596690188172043
12,1475981.5909540977,0.3280430865006553,1467742.4293193717,0.3596690188172043
