epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.536520,0.827867,0.295280,0.888765,0.00100000,0,2025-08-09 11:59:33
2,0.263557,0.910993,0.297522,0.909784,0.00100000,0,2025-08-09 11:59:58
3,0.138033,0.953962,0.286836,0.909598,0.00100000,1,2025-08-09 12:00:22
4,0.063385,0.979074,0.397644,0.907180,0.00100000,0,2025-08-09 12:00:47
5,0.039498,0.989118,0.779078,0.885975,0.00100000,1,2025-08-09 12:01:11
6,0.043591,0.991071,0.737537,0.910900,0.00100000,2,2025-08-09 12:01:35
7,0.022696,0.992896,0.582463,0.912202,0.00100000,3,2025-08-09 12:01:58
8,0.017417,0.993025,0.769768,0.903088,0.00100000,4,2025-08-09 12:02:22
9,0.014492,0.996652,0.837379,0.906808,0.00050000,5,2025-08-09 12:02:46
10,0.012396,0.998047,0.646340,0.918899,0.00050000,6,2025-08-09 12:03:09
11,0.003675,0.998605,0.701477,0.917225,0.00050000,7,2025-08-09 12:03:33
12,0.005320,0.998605,0.713995,0.912016,0.00050000,8,2025-08-09 12:03:56
13,0.004523,0.998884,0.693015,0.906808,0.00050000,9,2025-08-09 12:04:20
14,0.002560,0.999442,0.643925,0.909412,0.00050000,10,2025-08-09 12:04:44
15,0.002514,0.999163,0.637587,0.910714,0.00025000,11,2025-08-09 12:05:07
16,0.000089,1.000000,0.632633,0.909412,0.00025000,12,2025-08-09 12:05:31
17,0.000023,1.000000,0.647085,0.909412,0.00025000,13,2025-08-09 12:05:55
18,0.000017,1.000000,0.650656,0.908110,0.00025000,14,2025-08-09 12:06:19
