epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,363,0.16248328167085463,0.16223986528731965,1.644906083224239,0.0827488826611374,0.08074888605860216,0.20000000298023224,0.0001,0.001,nan,174.96654963493347
2,363,0.03421075907689366,0.033621468798098776,0.38304172296609196,0.005814889363378663,0.0038148892742782075,0.20000000298023224,0.0002,0.002,nan,354.04908323287964
3,363,0.0036982426344376097,0.003196574453325881,0.20052565183940824,0.005062447666320242,0.0030624475418531065,0.20000000298023224,0.0003,0.003,nan,531.8096737861633
4,363,0.0037703128892334773,0.0030647107690398756,0.20138748354472957,0.0073391072381334965,0.003133077442622449,0.420602971239935,0.0004,0.004,nan,709.6630434989929
5,363,0.004030453855463478,0.00312954888315769,0.20015060770642626,0.005281736290294535,0.0032817362129829728,0.20000000298023224,0.0005,0.005,nan,882.6649975776672
6,363,0.004186212868112457,0.0030859381166430046,0.20000000298023224,0.005131262307397172,0.003131262206507823,0.20000000298023224,0.0006,0.006,nan,1055.646710395813
7,363,0.0043350631923793435,0.003034788433329335,0.20000000298023224,0.005039367023148114,0.0030393669369948814,0.20000000298023224,0.0007,0.006999999999999999,nan,1228.6455993652344
8,363,0.004517321379543128,0.0030170466359397703,0.20000000298023224,0.005055675595480052,0.0030556754945907033,0.20000000298023224,0.0008,0.008,nan,1406.5068335533142
9,363,0.004722454347826827,0.003021591335949539,0.20006977500660078,0.005023799317924282,0.0030237992111404864,0.20000000298023224,0.0009000000000000001,0.009000000000000001,nan,1579.5348806381226
10,363,0.0049065968749666036,0.0030063221264364465,0.20000000298023224,0.0053753567965630486,0.003375356708936205,0.20000000298023224,0.001,0.01,nan,1757.3421642780304
11,363,0.005017901921726681,0.003017901828011068,0.20000000298023224,0.0051146521103344385,0.003114652033022876,0.20000000298023224,0.0009996954135095479,0.01,nan,1931.782597064972
12,363,0.005004521222672538,0.0030045178933145868,0.20000032601611956,0.005025616416684057,0.0030256163658975046,0.20000000298023224,0.0009987820251299122,0.01,nan,2104.716706752777
13,363,0.005006934106759318,0.0030069339980120556,0.20000000298023224,0.005011040829357844,0.003011040728468495,0.20000000298023224,0.0009972609476841367,0.01,nan,2277.640409231186
14,363,0.005006770802288224,0.0030067707053743876,0.20000000298023224,0.0050671677741729,0.0030671676821252213,0.20000000298023224,0.0009951340343707852,0.01,nan,2455.4377970695496
15,363,0.005008604548932923,0.0030086044692894916,0.20000000298023224,0.005009768972809934,0.0030097688866567007,0.20000000298023224,0.000992403876506104,0.01,nan,2628.3975265026093
16,363,0.005015427066310012,0.0030153855866276668,0.20000414247368717,0.005154285715492089,0.003154285641127749,0.20000000298023224,0.0009890738003669028,0.01,nan,2806.3005175590515
17,363,0.005023648709079231,0.0030236230446102487,0.20000255996218094,0.005136410469967353,0.003136410377919674,0.20000000298023224,0.0009851478631379982,0.01,nan,2979.311165332794
