Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
79,1634628.3155853956,0.29898939220183485,1631686.0314136127,0.30069724462365593
80,1629705.418894751,0.2987462115006553,1626655.664921466,0.30069724462365593
81,1624417.1641008374,0.29918393676277855,1621725.1518324607,0.30069724462365593
82,1619508.309072662,0.2992325729030144,1616773.3403141361,0.30069724462365593
83,1614574.520103157,0.29898939220183485,1612028.2513089005,0.30069724462365593
84,1609717.0679703872,0.2984057585190039,1607013.1308900523,0.30069724462365593
85,1604950.4822992482,0.2993298451834862,1602587.7696335078,0.30069724462365593
86,1600611.3253196555,0.298940756061599,1597557.67539267,0.30069724462365593
87,1595373.444124784,0.2986003030799476,1592811.7486910995,0.30069724462365593
88,1591264.9415680787,0.299475753604194,1588029.54973822,0.30069724462365593
89,1586085.9960246081,0.2987948476408912,1583530.827225131,0.30069724462365593
90,1581365.0401828804,0.299475753604194,1578876.1465968587,0.30069724462365593
91,1577037.6208435914,0.298940756061599,1574313.8219895288,0.30069724462365593
92,1572314.5457301629,0.29908666448230664,1569873.2984293194,0.30069724462365593
93,1567977.135195285,0.2987462115006553,1565352.1465968587,0.30069724462365593
94,1563403.7259371143,0.29889211992136305,1561006.1361256544,0.30069724462365593
95,1559043.1163661748,0.29889211992136305,1556577.6963350784,0.30069724462365593
96,1554736.5149268666,0.2987462115006553,1552252.0837696334,0.30069724462365593
97,1550285.1529924818,0.2995243897444299,1547936.1256544502,0.30069724462365593
98,1546012.7119379821,0.298940756061599,1543455.3717277488,0.30069724462365593
99,1541630.4393729533,0.2992325729030144,1539821.67539267,0.30069724462365593
100,1537311.314285306,0.29913530062254257,1534972.3560209423,0.30069724462365593
101,1533265.3534688214,0.298940756061599,1530796.5235602094,0.30069724462365593
102,1530028.2630950243,0.2987948476408912,1526401.4240837696,0.30069724462365593
103,1524521.0172568536,0.29913530062254257,1522146.6596858639,0.30069724462365593
104,1520519.482120119,0.298940756061599,1517997.8638743456,0.30069724462365593
