Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
27,1812138.6536934187,0.30420625819134994,1848192.77486911,0.26705309139784944
28,1814494.8285507225,0.304157622051114,1791043.2041884817,0.26705309139784944
29,1808322.9187236384,0.3039144413499345,1778729.67539267,0.26705309139784944
30,1821648.2690326406,0.30406034977064217,1791963.057591623,0.26705309139784944
31,1791193.290587891,0.30406034977064217,1784869.6963350784,0.26705309139784944
32,1796354.0018031138,0.3039630774901704,1776098.2827225132,0.26705309139784944
33,1791200.8318520824,0.304157622051114,1801228.5235602094,0.26705309139784944
34,1790174.3825078036,0.30420625819134994,1804274.45026178,0.26705309139784944
35,1770726.549714115,0.3039144413499345,1764420.5863874345,0.26705309139784944
36,1765732.217499781,0.3040117136304063,1767215.0785340315,0.26705309139784944
37,1765649.1491474768,0.3037198967889908,1756983.7068062827,0.26705309139784944
38,1755642.2984882414,0.30420625819134994,1764546.1989528795,0.26705309139784944
39,1750195.5769457675,0.3039630774901704,1745308.1465968587,0.26705309139784944
40,1740767.558575431,0.30420625819134994,1747208.502617801,0.26705309139784944
41,1747798.459655201,0.304157622051114,1750268.8167539267,0.26705309139784944
42,1736458.247905086,0.3044008027522936,1732663.162303665,0.26705309139784944
43,1736564.9683033004,0.3040117136304063,1733925.9895287957,0.26705309139784944
44,1735015.2085161079,0.3041089859108781,1736343.560209424,0.26705309139784944
45,1734555.0960965834,0.3039144413499345,1739186.9738219895,0.26705309139784944
46,1733229.8984823904,0.3038171690694626,1740247.497382199,0.26705309139784944
47,1731967.09489705,0.30347671608781124,1730268.8795811518,0.26705309139784944
48,1731080.9811028393,0.3033308076671036,1733795.162303665,0.26705309139784944
49,1729087.0504440458,0.30420625819134994,1726461.1308900523,0.26705309139784944
50,1728840.0440722536,0.30406034977064217,1725538.9319371728,0.26705309139784944
51,1729510.0646100615,0.30425489433158587,1725777.4031413612,0.26705309139784944
52,1728468.219590783,0.30406034977064217,1725191.5811518324,0.26705309139784944
