epoch,train_loss,train_acc,val_loss,val_acc,lr,kl_loss,time_elapsed
1,3.438614255984067,73.07152875175315,1.1052988006182367,81.41361256544502,0.0001,154387.28845214844,45.04178071022034
2,0.7029672127619365,81.96353436185133,0.41454522615952016,85.6020942408377,0.0001,59109.13333129883,85.41510438919067
3,0.4383108198538235,84.06732117812062,0.3693085656116146,88.21989528795811,0.0001,33015.60678100586,125.93926644325256
4,0.3851616079267245,86.56381486676017,0.3507814814595028,89.13612565445027,0.0001,21423.119567871094,166.4298346042633
5,0.35224850753748066,87.29312762973352,0.35041166490909315,86.64921465968587,0.0001,15097.48110961914,206.91292691230774
6,0.32273368939318464,87.91023842917251,0.3252610288053283,88.61256544502618,0.0001,11215.120811462402,247.87599992752075
7,0.28447974853395247,89.59326788218794,0.2972441134652542,89.3979057591623,0.0001,8642.032051086426,288.42643785476685
8,0.26960981610279433,90.15427769985975,0.33595765167505953,87.43455497382199,0.0001,6841.399730682373,328.94852328300476
9,0.24509131726175337,90.93969144460029,0.28620419600559155,90.18324607329843,0.0001,5529.055408477783,366.43695068359375
10,0.2270106232036715,91.58485273492286,0.33798922356510663,88.08900523560209,0.0001,4542.218963623047,406.954886674881
11,0.22118646224116878,91.92145862552594,0.3125814093345123,87.43455497382199,0.0001,4144.783485412598,444.44633769989014
12,0.20822156434682776,92.48246844319776,0.2914759148477884,90.18324607329843,0.0001,3761.070156097412,482.03578305244446
13,0.1760227950976908,93.68863955119214,0.29016840036626884,90.96858638743456,0.0001,3394.4126529693604,519.5841257572174
14,0.16919193820123982,93.60448807854138,0.324524350035253,90.44502617801047,0.0001,3047.851089477539,557.1353130340576
15,0.13481115310506434,95.42776998597475,0.28597179726156263,89.92146596858639,0.0001,2723.6444969177246,594.6890094280243
16,0.1311202370393159,95.31556802244039,0.29526157591355406,89.79057591623037,0.0001,2423.270124435425,635.2987129688263
17,0.129353776845825,95.37166900420758,0.2998336428747127,90.05235602094241,0.0001,2147.6673278808594,672.6812860965729
18,0.11538193454916314,95.93267882187938,0.33030379973156915,89.65968586387434,0.0001,1897.2192811965942,710.1711976528168
19,0.10810102843385593,96.57784011220197,0.32653819547273727,90.05235602094241,0.0001,1671.8468027114868,747.7505912780762
20,0.10765983005110462,96.32538569424965,0.3088340994887327,90.05235602094241,0.0001,1470.8761959075928,785.2224192619324
21,0.08858356030676175,97.47545582047685,0.3038515601482691,90.05235602094241,0.0001,1293.385570526123,822.5889458656311
22,0.07719449053765347,97.58765778401121,0.29752965232464657,91.62303664921465,5e-05,1173.7448501586914,860.066811800003
23,0.06893095553762489,98.31697054698458,0.31541250404263044,91.62303664921465,5e-05,1099.7928714752197,897.4953601360321
24,0.07009413242235592,97.9523141654979,0.3209433440138532,90.31413612565446,5e-05,1029.3561162948608,935.0316185951233
25,0.07009924601967255,98.2047685834502,0.31729199093673865,90.18324607329843,5e-05,962.687481880188,972.5146765708923
26,0.06850254448734193,98.31697054698458,0.3127963088881907,90.70680628272251,5e-05,899.9922938346863,1009.9546415805817
27,0.06421279448070165,98.65357643758766,0.2977285408536801,91.09947643979058,5e-05,841.3590250015259,1047.4249775409698
28,0.06278074665875455,98.62552594670407,0.3055211708183688,91.36125654450262,2.5e-05,799.8014135360718,1084.795739889145
29,0.06501781142213568,98.28892005610098,0.31642490297711956,90.70680628272251,2.5e-05,773.015594959259,1122.2579102516174
30,0.06255146816769958,98.14866760168303,0.3015319603587944,91.2303664921466,2.5e-05,746.6439509391785,1159.8694412708282
