epoch,train_loss,train_acc,val_loss,val_acc,lr,kl_loss,time_elapsed
1,7.053808158943882,67.816091954023,1.4760215617158936,84.86789431545236,5e-05,110101.27658314034,1768.226282119751
2,1.9840745075701194,73.94064161948876,0.7681536680608287,84.78783026421137,5e-05,98575.23245571711,3454.315903902054
3,1.167030472312871,75.41602333161778,0.4789653878242935,85.42834267413932,5e-05,91148.54995630683,5136.0958569049835
4,0.7882414031578882,76.11940298507463,0.4184319852598554,85.98879103282626,5e-05,84985.8831355078,6816.856474876404
