epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,363,74123.16495321086,72720.01756739354,28847935.633987907,66475.94630142405,66465.61985759494,10327.031577581092,0.0001,0.0001,,55.9982635974884
2,363,63917.00827395261,63915.57343535371,9479.02353140024,59786.941752373416,59773.01404272152,13927.417325949367,0.0002,0.0002,,114.47054076194765
3,363,56787.32930546017,56779.27976905907,29578.57527579842,52611.29084256329,52561.86862143988,49422.27749208861,0.0003,0.0003,,170.88381624221802
4,363,44279213.71541252,47632.23734761332,114050327632.46487,37067.722952927215,37022.26107594937,45461.79479825949,0.0004,0.0004,,227.74022436141968
5,363,2295428494579.7373,37318.31055224073,5457452395322949.0,32226.56546677215,32206.61503659019,19950.504351265823,0.0005,0.0005,,283.97394943237305
6,363,112754622259.84984,27138.4131234976,198653328050410.6,17168.99435077136,17106.06482397152,62929.54455102848,0.0006,0.0006,,340.21717143058777
7,363,163093355708.11966,18008.506197415867,249562840635250.0,9712.307493571994,9668.300669996044,44006.832278481015,0.0007,0.0007,,396.6293382644653
8,363,11055905723338.84,10816.665853311728,1.5289794102897164e+16,8522.900242286392,7854.697982594937,668202.2333860759,0.0008,0.0008,,453.167400598526
9,363,45092112060008.12,5887.803045587225,5.570924883586078e+16,2726.908345282832,2712.216348768789,14691.993225870254,0.0009,0.0009,,509.533860206604
10,363,45450.186806144295,1783.7312228024662,43974931.45809635,449.19303951987735,419.13895348657536,30054.08437994462,0.001,0.001,,566.3503882884979
11,363,43200.02343045749,560.5373298938458,42639482.97583142,88.74507652958737,75.98548720154581,12759.588582871836,0.0009996954135095,0.001,,624.5631301403046
12,363,224346.64371946355,66.28265943632022,224280355.4084875,151.74813688254054,142.51867550234252,9229.46083242682,0.0009987820251299,0.001,,680.6892485618591
13,363,112.49204880850657,95.4209597136948,17071.08843256353,54.14004110988182,49.83282731454584,4307.21356432951,0.0009972609476841,0.001,,736.2273976802826
14,363,85.25748906816754,81.29143772544441,3966.051872504937,47.21338841884951,43.76299686673321,3450.3913419699365,0.0009951340343707,0.001,,792.5646090507507
15,363,51.87722368554755,48.66843002969092,3208.79352074927,50.48319490650032,47.95852197574664,2524.672839200949,0.0009924038765061,0.001,,849.2075850963593
16,363,50.5771132353898,48.03199534363799,2545.117709987766,47.40936428987527,45.2224073772189,2186.956719120846,0.0009890738003669,0.001,,904.7934563159944
17,363,47.70943932480864,45.93427504025973,1775.16408597506,44.49449717847607,43.222807485846026,1271.6896130525613,0.0009851478631379,0.001,,960.1644713878632
18,363,51.50021605963235,49.23697572750049,2263.240242088234,40.362895893145215,38.82863515540014,1534.26066956339,0.0009806308479691,0.001,,1016.4137873649596
19,363,48.46884050474062,46.36796839682611,2100.872037782774,48.20213057119635,46.78710222847854,1415.0281982421875,0.0009755282581475,0.001,,1072.706752538681
20,363,53.17071895284967,51.26695650226467,1903.7623976822736,40.87187972249864,39.26547938962526,1606.4002469219738,0.0009698463103929,0.001,,1128.0285346508026
21,363,46.397339511703656,44.907517244527625,1489.8223209590703,41.503975735435006,40.699289466761336,804.6862553463707,0.0009635919272833,0.001,,1186.3644618988037
22,363,54.33644582413055,52.88317720182649,1453.268315241887,43.934441819975646,42.89500567279285,1039.4360289754748,0.0009567727288213,0.001,,1242.1743984222412
23,363,46.19510758054125,44.96294206053346,1232.16549213116,44.19146878206277,42.76608858229239,1425.380118454559,0.0009493970231495,0.001,,1297.9430220127106
24,363,44.873245710855,43.75070941841209,1122.5362255389873,44.225878558581385,43.2520617231538,973.8167315133012,0.0009414737964294,0.001,,1353.877962589264
25,363,43.70286488795018,42.52671108665047,1176.1537540980748,42.37011134473583,41.353260668018194,1016.8508192617682,0.0009330127018922,0.001,,1409.5410413742063
26,363,42.84649425548511,41.92929286223192,917.2013006524726,49.30134379712841,48.48752951320213,813.8143055589893,0.0009240240480782,0.001,,1465.829868555069
27,363,41.11611236844744,40.27827671071985,837.8355280278803,48.38150154789792,47.613235232196274,768.2661681356309,0.0009145187862775,0.001,,1522.2862145900726
28,363,41.927458742162685,40.90369871684483,1023.759999369527,49.066092141066925,48.14674937574169,919.3428615135484,0.0009045084971874,0.001,,1578.1142675876615
29,363,41.39102067004193,40.50032817400419,890.6924010895111,36.92148186888876,35.960761227185216,960.720532381082,0.0008940053768033,0.001,,1634.5218205451963
30,363,40.94843373455844,40.13704740084135,811.3863418914459,55.2755342797388,54.72359988055652,551.934393001508,0.0008830222215594,0.001,,1691.0412681102753
31,363,40.4871080995916,39.8105372439374,676.5708448808272,40.94504976876174,40.24517974370642,699.8699248108683,0.0008715724127386,0.001,,1749.383710861206
32,363,39.77361248875712,39.09131638034359,682.2959938468514,39.55359198171881,38.899374177184285,654.2177927524228,0.0008596699001693,0.001,,1805.275140762329
33,363,89.98758146265051,89.31351531206907,674.0640100332407,40.37277115447612,39.74440386325498,628.367173979554,0.0008473291852294,0.001,,1861.7744991779327
34,363,40.237077529613785,39.52259830852131,714.479253580282,37.70729883411263,37.07916013500358,628.1386259054835,0.0008345653031794,0.001,,1917.7483773231504
35,363,39.14828760021336,38.57806938297146,570.2182310334929,35.14871049229103,34.60675744165348,541.9530504443977,0.0008213938048432,0.001,,1973.72238445282
36,363,39.73058391927363,39.18162536097097,548.9585684472388,35.077380289005326,34.659169740314724,418.21045617212224,0.0008078307376628,0.001,,2030.836127758026
37,363,52.51641063899784,51.96649059882531,549.9204420152602,37.19035406957699,36.63266080542456,557.693255460715,0.0007938926261462,0.001,,2087.434555292129
38,363,38.703649515634055,38.18002623254126,523.6232495989118,37.06127058101606,36.628035074547874,433.2356177221371,0.0007795964517353,0.001,,2143.643118619919
39,363,38.22131932960762,37.71868651777833,502.632800594791,37.61298819433285,37.14961887311332,463.36926037752175,0.0007649596321166,0.001,,2199.345556497574
40,363,38.6447294989785,38.1065805036943,538.1489116123745,39.38096997707705,38.98010606403592,400.86388928377175,0.00075,0.001,,2255.1367659568787
