Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
219,333630080.08158857,0.3363521870904325,1411050509.2356021,0.31275201612903225
220,1831721.3185019698,0.3373735460353866,1942549.7801047121,0.31275201612903225
221,4672170.719495992,0.3373735460353866,3510237.151832461,0.31275201612903225
222,7636776.9708648715,0.33678991235255573,2117362.890052356,0.31275201612903225
223,1935504.1357518318,0.33703309305373524,1855352.8795811518,0.31275201612903225
224,278916882.20894676,0.3369844569134993,1080426386.7643979,0.31275201612903225
225,13969117.758566774,0.33683854849279166,1691802.6387434555,0.31275201612903225
226,1792357.8918181153,0.33747081831585846,996663345.8848168,0.31275201612903225
227,213157136.25851068,0.3373249098951507,2005768.8795811518,0.31275201612903225
228,268766680.5724746,0.3368871846330275,11769478.910994764,0.31275201612903225
229,1796592.761018977,0.33683854849279166,12411683.392670156,0.31275201612903225
230,1829947.3966266047,0.3371303653342071,1925729.8429319372,0.31275201612903225
231,580123557.0348345,0.3375194544560944,56519625.04712042,0.31275201612903225
232,1090999689.8113,0.3372276376146789,1628552.0837696334,0.31275201612903225
233,1792515.021390006,0.337179001474443,2276645.0680628275,0.31275201612903225
234,7480756.91223377,0.3372276376146789,1780125.5706806283,0.31275201612903225
235,1673388.265653699,0.3368871846330275,1575485.8638743456,0.31275201612903225
236,606425755.6412338,0.3371303653342071,11160723.979057591,0.31275201612903225
237,126726050.40067786,0.3372762737549148,1962532.5235602094,0.31275201612903225
238,1258634456.862699,0.33683854849279166,1941257.2565445027,0.31275201612903225
239,245842473.955218,0.33683854849279166,1505744.2513089005,0.31275201612903225
240,267610562.47058198,0.3374221821756226,1965960.8795811518,0.31275201612903225
