Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
53,65961.09841554704,0.33653649246395806,64275.39267015707,0.33984375
54,62778.683391888844,0.33648785632372213,61152.92146596859,0.33984375
55,59710.61449292626,0.33639058404325034,58195.68586387434,0.33984375
56,56828.200996118576,0.3363419479030144,55389.905759162306,0.33984375
57,54093.23963572541,0.3364392201834862,52727.24607329843,0.33984375
58,51476.55711840272,0.33619603948230664,50183.62303664922,0.33984375
59,49015.20029042205,0.33619603948230664,47783.79057591623,0.33984375
60,46675.02103737166,0.336585128604194,45471.706806282724,0.33984375
61,44435.87459577691,0.336585128604194,43317.23560209424,0.33984375
62,42317.66299421784,0.3366337647444299,41260.98429319372,0.33984375
63,40319.166427963275,0.336585128604194,39308.60732984293,0.33984375
64,38408.87106045888,0.3366824008846658,37445.15183246073,0.33984375
65,36587.744152990395,0.3359528587811272,35680.92146596859,0.33984375
66,34862.288052389566,0.33619603948230664,34008.293193717276,0.33984375
67,33233.535872890905,0.33648785632372213,32402.178010471205,0.33984375
68,31664.493068807424,0.33648785632372213,30895.24607329843,0.33984375
69,30190.16757064755,0.336050131061599,29430.994764397907,0.33984375
70,28782.896441714594,0.33639058404325034,28085.905759162302,0.33984375
71,27448.48413819986,0.33629331176277855,26760.712041884817,0.33984375
72,26172.90070514438,0.3366337647444299,25525.068062827224,0.33984375
73,24965.260114141733,0.33692558158584535,24361.340314136127,0.33984375
74,23811.924346577136,0.336050131061599,23246.994764397907,0.33984375
75,22719.965144572852,0.3363419479030144,22172.314136125653,0.33984375
76,21677.22502169616,0.33619603948230664,21172.39790575916,0.33984375
77,20687.04337985559,0.33629331176277855,20186.55497382199,0.33984375
