epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.861395,0.816556,0.391430,0.854725,0.00100000,0,2025-09-04 13:03:51
2,0.415197,0.871952,0.395673,0.860119,0.00100000,0,2025-09-04 13:04:09
3,0.319913,0.897472,0.300327,0.892485,0.00100000,1,2025-09-04 13:04:26
4,0.264483,0.922734,0.349300,0.891183,0.00100000,0,2025-09-04 13:04:43
5,0.198865,0.937779,0.314018,0.885045,0.00100000,1,2025-09-04 13:05:00
6,0.161941,0.946858,0.328232,0.887649,0.00100000,2,2025-09-04 13:05:16
7,0.132288,0.956065,0.352951,0.897879,0.00100000,3,2025-09-04 13:05:33
8,0.124274,0.958298,0.396245,0.885975,0.00100000,4,2025-09-04 13:05:50
9,0.114775,0.965123,0.373868,0.889137,0.00050000,5,2025-09-04 13:06:07
10,0.062178,0.977958,0.414200,0.899368,0.00050000,6,2025-09-04 13:06:24
11,0.046743,0.983259,0.470258,0.896949,0.00050000,7,2025-09-04 13:06:41
12,0.041813,0.984375,0.426682,0.899182,0.00050000,8,2025-09-04 13:06:57
13,0.050643,0.986886,0.449294,0.908482,0.00050000,9,2025-09-04 13:07:14
14,0.042249,0.985491,0.396843,0.903460,0.00050000,10,2025-09-04 13:07:30
15,0.033464,0.990792,0.614756,0.887091,0.00025000,11,2025-09-04 13:07:47
16,0.038386,0.987594,0.566940,0.903088,0.00025000,12,2025-09-04 13:08:04
17,0.026814,0.991071,0.457300,0.901972,0.00025000,13,2025-09-04 13:08:20
18,0.026343,0.991629,0.448234,0.905878,0.00025000,14,2025-09-04 13:08:37
