epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,1.012262,0.794235,0.379779,0.873140,0.00100000,0,2025-09-04 12:54:47
2,0.403429,0.870965,0.325807,0.878348,0.00100000,0,2025-09-04 12:55:07
3,0.263544,0.912109,0.414964,0.876860,0.00100000,0,2025-09-04 12:55:27
4,0.156243,0.950335,0.488090,0.895275,0.00100000,1,2025-09-04 12:55:46
5,0.123306,0.962483,0.516265,0.890067,0.00100000,2,2025-09-04 12:56:05
6,0.069692,0.976842,0.486896,0.900484,0.00100000,3,2025-09-04 12:56:25
7,0.047370,0.982143,0.889876,0.887277,0.00100000,4,2025-09-04 12:56:44
8,0.043824,0.986478,1.024458,0.901786,0.00050000,5,2025-09-04 12:57:03
9,0.030896,0.987723,0.905882,0.887463,0.00050000,6,2025-09-04 12:57:22
10,0.027402,0.989676,0.929154,0.893787,0.00050000,7,2025-09-04 12:57:42
11,0.019821,0.994141,0.998277,0.899368,0.00050000,8,2025-09-04 12:58:03
12,0.014492,0.992467,1.109170,0.887463,0.00050000,9,2025-09-04 12:58:22
13,0.013058,0.993583,0.992361,0.905878,0.00050000,10,2025-09-04 12:58:41
14,0.028451,0.992746,0.869059,0.900484,0.00025000,11,2025-09-04 12:59:00
15,0.009535,0.995815,1.015441,0.892485,0.00025000,12,2025-09-04 12:59:18
16,0.009415,0.995257,1.203656,0.891369,0.00025000,13,2025-09-04 12:59:38
17,0.006380,0.997489,1.184044,0.893973,0.00025000,14,2025-09-04 12:59:57
