epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,1.133856,0.791316,0.400723,0.878162,0.00100000,0,2025-09-04 12:44:51
2,0.397400,0.877125,0.371664,0.889695,0.00100000,0,2025-09-04 12:45:12
3,0.278140,0.912946,0.319220,0.895089,0.00100000,0,2025-09-04 12:45:34
4,0.238189,0.929988,0.338133,0.901600,0.00100000,0,2025-09-04 12:45:56
5,0.156755,0.954413,0.478016,0.896391,0.00100000,1,2025-09-04 12:46:16
6,0.118969,0.961796,0.368994,0.901786,0.00100000,2,2025-09-04 12:46:37
7,0.091980,0.975167,0.511316,0.899368,0.00100000,3,2025-09-04 12:46:57
8,0.086936,0.977400,0.649638,0.901600,0.00100000,4,2025-09-04 12:47:17
9,0.072907,0.982572,0.676708,0.892485,0.00050000,5,2025-09-04 12:47:38
10,0.052167,0.987723,0.717197,0.896205,0.00050000,6,2025-09-04 12:47:58
11,0.038543,0.987444,0.799649,0.898810,0.00050000,7,2025-09-04 12:48:18
12,0.034194,0.990234,0.737167,0.900298,0.00050000,8,2025-09-04 12:48:39
13,0.027969,0.990792,0.895385,0.901600,0.00050000,9,2025-09-04 12:48:59
14,0.026691,0.990792,0.812817,0.905506,0.00050000,10,2025-09-04 12:49:19
15,0.030637,0.992467,0.673797,0.904390,0.00025000,11,2025-09-04 12:49:39
16,0.013704,0.993862,0.780137,0.903088,0.00025000,12,2025-09-04 12:50:00
17,0.013578,0.994978,0.915220,0.904204,0.00025000,13,2025-09-04 12:50:20
18,0.011292,0.995536,1.024665,0.905506,0.00025000,14,2025-09-04 12:50:40
