epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.604386,0.836680,0.350189,0.882031,0.00100000,0,2025-08-09 17:41:42
2,0.299643,0.888764,0.287549,0.874219,0.00100000,0,2025-08-09 17:42:02
3,0.201146,0.929474,0.226399,0.915625,0.00100000,0,2025-08-09 17:42:22
4,0.124329,0.957992,0.331671,0.914844,0.00100000,0,2025-08-09 17:42:41
5,0.074362,0.977459,0.386923,0.914062,0.00100000,1,2025-08-09 17:43:00
6,0.045358,0.986680,0.557354,0.908594,0.00100000,2,2025-08-09 17:43:19
7,0.025617,0.992486,0.541983,0.919531,0.00100000,3,2025-08-09 17:43:38
8,0.025972,0.993169,0.714505,0.914062,0.00100000,4,2025-08-09 17:43:57
9,0.013153,0.995902,0.604395,0.924219,0.00050000,5,2025-08-09 17:44:16
10,0.003166,0.998634,0.753923,0.923438,0.00050000,6,2025-08-09 17:44:35
11,0.000410,1.000000,0.804365,0.925781,0.00050000,7,2025-08-09 17:44:53
12,0.000080,1.000000,0.816882,0.927344,0.00050000,8,2025-08-09 17:45:12
13,0.000032,1.000000,0.827030,0.928125,0.00050000,9,2025-08-09 17:45:31
14,0.000025,1.000000,0.844662,0.928906,0.00050000,10,2025-08-09 17:45:50
15,0.000018,1.000000,0.855709,0.927344,0.00025000,11,2025-08-09 17:46:09
16,0.000011,1.000000,0.858447,0.927344,0.00025000,12,2025-08-09 17:46:28
17,0.000014,1.000000,0.859574,0.927344,0.00025000,13,2025-08-09 17:46:47
18,0.000010,1.000000,0.860260,0.927344,0.00025000,14,2025-08-09 17:47:06
