Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,1899578.4194249162,0.3308947001965924,1813251.057591623,0.3274949596774193
2,1800190.020683809,0.33099197247706424,1790037.9685863873,0.3274949596774193
3,1795058.0901474373,0.3306028833551769,1762223.2041884817,0.3274949596774193
4,1783435.4163988968,0.3307974279161206,1765871.497382199,0.3274949596774193
5,1781639.6478092044,0.3307974279161206,1746708.8795811518,0.3274949596774193
6,1780214.7095994675,0.33123515317824376,1765521.8638743456,0.3274949596774193
7,1770999.8107423908,0.33099197247706424,1764011.664921466,0.3274949596774193
8,1770661.607522643,0.33108924475753604,1743133.3821989528,0.3274949596774193
9,1759404.3510699098,0.33084606405635647,1764465.4031413612,0.3274949596774193
10,1761402.052827438,0.3308947001965924,1768347.6439790577,0.3274949596774193
11,1748703.9443873388,0.3307487917758847,1742138.722513089,0.3274949596774193
12,1749796.6149551168,0.33113788089777196,1743500.712041885,0.3274949596774193
13,1745904.0002557435,0.33108924475753604,1760276.439790576,0.3274949596774193
14,1738672.4492656565,0.33123515317824376,1763819.1204188482,0.3274949596774193
15,1733957.0384754196,0.33123515317824376,1730461.3403141361,0.3274949596774193
16,1727320.840909259,0.33099197247706424,1733617.4031413612,0.3274949596774193
17,1726372.5381655004,0.3313324254587156,1736068.5863874345,0.3274949596774193
18,1722318.7234504656,0.33118651703800783,1710858.2827225132,0.3274949596774193
19,1719345.8232682794,0.33104060861730017,1712245.54973822,0.3274949596774193
20,1709235.898759156,0.33070015563564875,1693946.7015706806,0.3274949596774193
21,1707387.8636219169,0.33118651703800783,1691423.7696335078,0.3274949596774193
22,1697690.787281146,0.33099197247706424,1685457.2565445027,0.3274949596774193
23,1696662.9949846596,0.33084606405635647,1687542.0942408377,0.3274949596774193
24,1697531.2531925468,0.33108924475753604,1706364.0209424084,0.3274949596774193
25,1705361.1156961685,0.3306028833551769,1720598.45026178,0.3274949596774193
26,1686824.8197628516,0.33138106159895153,1686952.7958115183,0.3274949596774193
27,1688780.632709736,0.33113788089777196,1669946.9947643979,0.3274949596774193
